countries,Antigua and Barbuda,Barbados,Belize,Canada,Costa Rica,Cuba,Dominica,Dominican Republic,El Salvador,Grenada,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Trinidad and Tobago,USA
Antigua and Barbuda,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Barbados,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Belize,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Grenada,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Guatemala,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
Haiti,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Mexico,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nicaragua,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Panama,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
USA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0